"","Province.State","SNo","ObservationDate","Country.Region","Last.Update","Confirmed","Deaths","Recovered","lat","lng"
"1","Anhui",1,"01/22/2020","China","1/22/2020 17:00",1,0,0,30.6007,117.9249
"2","Anhui",4259,"03/09/2020","China","2020-03-08T05:13:06",990,6,984,30.6007,117.9249
"3","Anhui",8985,"03/26/2020","China","2020-03-26 23:53:24",990,6,984,30.6007,117.9249
"4","Anhui",2291,"02/25/2020","China","2020-02-25T06:33:02",989,6,712,30.6007,117.9249
"5","Anhui",1274,"02/12/2020","China","2020-02-12T10:13:20",889,4,127,30.6007,117.9249
"6","Anhui",379,"01/30/2020","China","1/30/20 16:00",200,0,2,30.6007,117.9249
"7","Anhui",1571,"02/16/2020","China","2020-02-16T08:33:02",962,6,255,30.6007,117.9249
"8","Anhui",633,"02/03/2020","China","2020-02-03T17:11:34",408,0,14,30.6007,117.9249
"9","Anhui",177,"01/26/2020","China","1/26/20 16:00",60,0,0,30.6007,117.9249
"10","Anhui",1872,"02/20/2020","China","2020-02-20T09:53:02",987,6,474,30.6007,117.9249
"11","Anhui",913,"02/07/2020","China","2020-02-07T05:13:07",665,0,47,30.6007,117.9249
"12","Anhui",8681,"03/25/2020","China","2020-03-25 23:37:49",990,6,984,30.6007,117.9249
"13","Anhui",7342,"03/21/2020","China","2020-03-11T02:18:14",990,6,984,30.6007,117.9249
"14","Anhui",1201,"02/11/2020","China","2020-02-11T09:43:02",860,4,105,30.6007,117.9249
"15","Anhui",9912,"03/29/2020","China","3/8/20 5:31",990,6,984,30.6007,117.9249
"16","Anhui",1496,"02/15/2020","China","2020-02-15T12:13:08",950,6,221,30.6007,117.9249
"17","Anhui",11164,"04/02/2020","China","4/2/20 8:53",990,6,984,30.6007,117.9249
"18","Anhui",3093,"03/03/2020","China","2020-03-03T14:33:03",990,6,936,30.6007,117.9249
"19","Anhui",1796,"02/19/2020","China","2020-02-19T14:13:03",986,6,413,30.6007,117.9249
"20","Anhui",12432,"04/06/2020","China","4/6/20 9:37",990,6,984,30.6007,117.9249
"21","Anhui",3776,"03/07/2020","China","2020-03-06T03:23:06",990,6,979,30.6007,117.9249
"22","Anhui",2116,"02/23/2020","China","2020-02-23T10:53:02",989,6,637,30.6007,117.9249
"23","Anhui",13713,"04/10/2020","China","2020-04-10 23:01:43",991,6,984,30.6007,117.9249
"24","Anhui",2487,"02/27/2020","China","2020-02-27T14:13:06",989,6,792,30.6007,117.9249
"25","Anhui",14995,"04/14/2020","China","2020-04-14 23:41:11",991,6,984,30.6007,117.9249
"26","Anhui",701,"02/04/2020","China","2020-02-04T05:33:01",480,0,20,30.6007,117.9249
"27","Anhui",2952,"03/02/2020","China","2020-03-02T15:03:23",990,6,917,30.6007,117.9249
"28","Anhui",16275,"04/18/2020","China","2020-04-18 22:40:18",991,6,984,30.6007,117.9249
"29","Anhui",275,"01/28/2020","China","1/28/20 23:00",106,0,0,30.6007,117.9249
"30","Anhui",3577,"03/06/2020","China","2020-03-06T03:23:06",990,6,979,30.6007,117.9249
"31","Anhui",772,"02/05/2020","China","2020-02-05T13:43:02",530,0,23,30.6007,117.9249
"32","Anhui",39,"01/23/2020","China","1/23/20 17:00",9,0,0,30.6007,117.9249
"33","Anhui",4525,"03/10/2020","China","2020-03-08T05:13:06",990,6,984,30.6007,117.9249
"34","Anhui",96,"01/24/2020","China","1/24/20 17:00",15,0,0,30.6007,117.9249
"35","Anhui",2386,"02/26/2020","China","2020-02-26T10:13:11",989,6,744,30.6007,117.9249
"36","Anhui",1347,"02/13/2020","China","2020-02-13T13:33:01",910,5,157,30.6007,117.9249
"37","Anhui",10537,"03/31/2020","China","2020-03-31 23:49:27",990,6,984,30.6007,117.9249
"38","Anhui",438,"01/31/2020","China","1/31/2020 23:59",237,0,3,30.6007,117.9249
"39","Anhui",4003,"03/08/2020","China","2020-03-08T05:13:06",990,6,984,30.6007,117.9249
"40","Anhui",7784,"03/22/2020","China","3/8/20 5:31",990,6,984,30.6007,117.9249
"41","Anhui",226,"01/27/2020","China","1/27/20 23:59",70,0,0,30.6007,117.9249
