order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD092101,ID0650270229,2019-05-14,Nickolson,"[('Candle Inferno', 1), ('Universe Note', 2)]",7330,81.03,-37.81346660000001,144.980399,15,6311.53,Autumn,True,1.1117,cheap and better mobile i bought it during black friday. i am satisfied. i think camera resolution (pixel) is unnecessary high.,True
ORD363175,ID2189398733,2019-11-22,Nickolson,"[('Alcon 10', 1), ('Candle Inferno', 1), ('Lucent 330S', 2), ('iAssist Line', 1)]",14065,79.19,-37.80948720000001,144.9757411,25,10627.94,Spring,False,1.1508,100% great amazing condition and works perfectly,True
ORD490205,ID0123086980,2019-02-09,Thompson,"[('Universe Note', 1), ('Olivia x460', 2), ('Thunder line', 1)]",8080,93.3,-37.8152018,144.95592340000005,5,7769.3,Summer,True,0.828,i love it! i love it !!! and to get it for a penny i got 3 universe for gift with my plan,True
ORD483502,ID0055931060,2019-05-20,Thompson,"[('pearTV', 2), ('Thunder line', 2), ('Alcon 10', 1)]",25930,61.81,-37.8117769,144.9461149,25,19509.31,Autumn,True,0.1304,"pre plan expires after 1st 30 days, then must buy more expensive data plan you cannot keep your pre paid plan after the 1st 30 days. you must buy a more expensive data plan.",False
ORD040311,ID0781137430,2019-02-08,Thompson,"[('pearTV', 2), ('Olivia x460', 2)]",15070,76.48,-37.8027573,144.9468318,25,11378.98,Summer,False,1.104,"me encanto, muy barato y en excelente condiciones todo perfecto, para el precio no esperaba menos, la bateria dura mucho, vino con un cover y su cargador con adaptador universal. perfecto",True
ORD085171,ID4516260660,2019-10-17,Thompson,"[('Toshika 750', 1), ('Thunder line', 1)]",6500,84.4,-37.8085607,144.9476394,0,6584.4,Spring,True,0.4605,not what i expected this phone is a defective device and i would like my money back ... it makes emergency calls every time i put it in my pocket and it shuts it's self down all the time ...,False
ORD259056,ID0605199037,2019-07-08,Nickolson,"[('Toshika 750', 1), ('iAssist Line', 2)]",8770,75.81,-37.8134063,144.96490769999997,15,7530.31,Winter,True,0.7073,amazing phone. love this phone.,True
ORD239211,ID0248129431,2019-10-28,Thompson,"[('Universe Note', 2), ('Lucent 330S', 2), ('iStream', 1), ('Toshika 750', 2)]",18150,79.78,-37.8240565,144.94194919999995,5,17322.28,Spring,False,1.3448,great sound in a small package—easy to set up and use; fun to own.,True
ORD131471,ID3293342993,2019-03-16,Nickolson,"[('Olivia x460', 1), ('Candle Inferno', 1), ('Thunder line', 2)]",6015,66.44,-37.82399,144.9818918,5,5780.69,Autumn,True,1.2403,"bad experience wiyh dailysales seller and phone aweful experience. arrived blocked to my carrier tmobile, so obvivously unusuable.",False
ORD385740,ID1433204920,2019-01-23,Thompson,"[('Olivia x460', 2), ('Alcon 10', 1), ('pearTV', 1), ('iAssist Line', 1)]",19935,91.05,-37.8171982,144.95290730000005,10,18032.55,Summer,True,0.7193,"works great i love it, grand daughter digs the watching of cartoons on it lol",True
ORD032483,ID6167231005,2019-06-05,Thompson,"[('iStream', 2), ('Alcon 10', 1), ('Toshika 750', 1), ('pearTV', 2)]",26190,64.99,-37.8172549,144.9531826,15,22326.49,Winter,False,0.7411,get the mate se instead. it's a lot cheaper i bought this because i have a huawei mate se. maybe i expected too much. i returned it. i like my mate se better.,True
ORD005477,ID2222040563,2019-08-05,Thompson,"[('iStream', 1), ('Toshika 750', 1), ('Alcon 10', 2), ('Universe Note', 2)]",29270,77.77,-37.8210501,144.9431888,10,26420.77,Winter,True,0.993,"poor windows phone... i absolutely love this phone. sleek and beautiful, and a much prettier alternative to android or ios devices. it's really sad to see how uncommon they are taking up less than 3% of the market. would love to see the lumia phones make it big.",True
ORD481298,ID0248746964,2019-02-01,Bakers,"[('Candle Inferno', 2), ('Olivia x460', 1)]",2085,73.99,-37.8183757,144.9971149,15,1846.24,Summer,False,0.9474,"this is the second pixel 4 xl i purchased this is the second pixel 4 xl i purchased, and this is a very good phone. this phone will give to my mom as a christmas gift.",True
ORD486676,ID0030946623,2019-10-27,Nickolson,"[('Candle Inferno', 1), ('Lucent 330S', 2), ('iAssist Line', 1), ('Universe Note', 2)]",12015,106.36,-37.80451770000001,144.9713513,0,12121.36,Spring,True,1.575,our first tablet. purchased for my husband prior to a long train trip. downloaded movies had internet and was great for traveling.,True
ORD397974,ID0554206050,2019-09-20,Thompson,"[('iAssist Line', 1), ('iStream', 1), ('Toshika 750', 1), ('Candle Inferno', 1)]",7125,108.61,-37.801289,144.9360284,5,6877.36,Spring,True,1.5965,good product. happy with my new phone good product. happy with my new phone. supreme deals 18 has awesome customer service too. the phone i ordered got lost in transit over the holodays and they overnighted me a replacement asap!,True
ORD369797,ID3146808084,2019-01-26,Bakers,"[('Candle Inferno', 2), ('iAssist Line', 2), ('Toshika 750', 2)]",13950,71.11,-37.81215170000001,144.9890977,25,10533.61,Summer,False,0.5904,"it's fantastic so far, it's perfect, looks, feels and works like brand new and it's unlocked with no verizon stuff on it. super happy with it and saved a boatload of money by not getting the pixel 3, thanks guys, keep up the good work and i'll buy my next phone through you!",True
ORD198526,ID0709968696,2019-03-26,Thompson,"[('Alcon 10', 1), ('Olivia x460', 2), ('Toshika 750', 1), ('Candle Inferno', 1)]",16150,66.36,-37.8138543,144.93598369999995,5,15408.86,Autumn,False,0.9837,very good phone and solid.... nice phone. feels solid and responsive. just in the media lacking some integration for social network... i can recommend this for those looking for prepaid.,True
ORD031733,ID0332797046,2019-08-17,Bakers,"[('Thunder line', 2), ('Alcon 10', 1)]",13310,62.23,-37.8095744,145.00032040000005,25,10044.73,Winter,False,0.45,"like brand new was leery of buying a refurbished phone. but, this one looks brand new except for the boxing. even the guy at verizon said i got a really good deal on this phone. excellent refurbish work. thank you.",True
ORD012854,ID4428364713,2019-10-07,Nickolson,"[('iStream', 1), ('Lucent 330S', 2)]",2610,129.03,-37.7997903,144.965651,0,2739.03,Spring,False,2.1212,yaaaay it's de best and it came the way it was no scratches ... yaaaay it's de best and it came the way it was no scratches and the shipping and handling was perfect,True
ORD208071,ID3937113700,2019-08-21,Nickolson,"[('pearTV', 2), ('Lucent 330S', 2), ('Toshika 750', 1), ('Olivia x460', 1)]",20625,79.05,-37.8083907,144.97812130000003,10,18641.55,Winter,True,1.3632,great buy great buy only issue can't talk on phone and read emails or view pictures at same time. it works differently then note 3,True
ORD205971,ID0126934535,2019-10-19,Nickolson,"[('iStream', 1), ('pearTV', 2), ('Toshika 750', 2), ('Universe Note', 2)]",28310,56.07,-37.8165753,144.9666375,0,28366.07,Spring,False,0.3409,"not happy with this phone not happy with this phone. no space on it to even update apps. my own fault, neglected to look at the space on it. does anyone have any suggestions? wish we could get rid of some of the useless preloaded apps.",False
ORD452430,ID2288769432,2019-05-08,Bakers,"[('Alcon 10', 2), ('Thunder line', 1), ('pearTV', 1)]",26390,80.2,-37.8021939,145.0040721,0,26470.2,Autumn,True,1.1657,five stars works perfectly fine. i sent it overseas and my cousins is enjoying it very well.,True
ORD434080,ID0587653276,2019-07-27,Nickolson,"[('Thunder line', 2), ('Toshika 750', 1), ('Universe Note', 2), ('Olivia x460', 1)]",16805,81.31,-37.8256667,144.9580612,10,15205.81,Winter,True,1.2808,great gold day buy!,True
ORD071415,ID6167417937,2019-10-25,Nickolson,"[('Lucent 330S', 1), ('iStream', 1)]",1380,102.08,-37.8150115,144.9601599,5,1413.08,Spring,True,0.9171,how great it is i change my mind bc when i saw the free sim card i was like wow i feel bad now.but it had a crack on my screen when i bought it,True
ORD455847,ID0580293642,2019-10-05,Thompson,"[('Olivia x460', 1), ('Candle Inferno', 2), ('iStream', 2), ('pearTV', 1)]",8695,93.62,-37.7987101,144.9199158,5,8353.87,Spring,False,2.8494,olivia user gone google. really great phone. the camera is amazing.,True
ORD007227,ID0127641620,2019-01-12,Thompson,"[('Thunder line', 1), ('Alcon 10', 2)]",20080,72.41,-37.8105378,144.9451673,15,17140.41,Summer,True,0.2906,"it keeps dropping calls the wifi don't work this is a waste of money this phone is worthless, it keeps dropping calls the wifi don't work this is a waste of money",False
