x1,x2,x3,x4,y
1000,1003,1022,1001,1007.25
1001,1001,1038,1001,1071.2833
1001,1003,1026,1000,1007.925
1001,1001,1035,1001,1053.1
1000,1003,1035,1000,1008.05
1000,1003,1000,1000,1008.4583
1000,1001,1054,1000,1051.8625
1000,1003,1002,1003,1021.075
1001,1003,1027,1000,1011.1333
1001,1002,1014,1001,1030.0708
1001,1003,1004,1001,1016.7
1001,1001,1058,1000,1026.55
1000,1003,1020,1000,1008.05
1000,1003,1039,1001,1031.275
1000,1003,1014,1000,1007.8542
1001,1002,1055,1000,1016
1000,1003,1002,1004,1029.125
1001,1002,1000,1000,1013
1000,1003,1031,1001,1018
1001,1003,1000,1000,1007.225
1000,1002,1035,1000,1026
1001,1002,1034,1000,1013
1001,1003,1015,1000,1008.0292
1001,1001,1028,1000,1035.5
1000,1003,1008,1003,1021.075
1001,1003,1038,1001,1031.3875
1000,1003,1000,1000,1007.225
1000,1001,1019,1003,1263
1001,1003,1000,1000,1007.8792
1000,1003,1000,1000,1007.8958
1000,1001,1040,1000,1027.7208
1001,1001,1000,1001,1146.5208
1001,1003,1000,1000,1007.75
1000,1002,1066,1000,1010.5
1000,1001,1028,1001,1082.1708
1000,1001,1042,1001,1052
1001,1003,1000,1000,1007.2292
1000,1003,1021,1000,1008.05
1000,1003,1018,1002,1018
1001,1003,1014,1001,1011.2417
1000,1003,1040,1001,1009.475
1000,1002,1027,1001,1021
1000,1003,1000,1000,1007.8958
1001,1002,1003,1001,1041.5792
1001,1003,1019,1000,1007.8792
1000,1003,1000,1000,1008.05
1000,1003,1000,1001,1015.5
1001,1003,1000,1000,1007.75
1000,1003,1000,1002,1021.6792
1000,1003,1018,1001,1017.8
1000,1003,1007,1004,1039.6875
1000,1003,1021,1000,1007.8
1001,1001,1049,1001,1076.7292
1001,1002,1029,1001,1026
1000,1001,1065,1000,1061.9792
1001,1001,1000,1000,1035.5
1001,1002,1021,1000,1010.5
1000,1003,1028.5,1000,1007.2292
1001,1002,1005,1001,1027.75
1000,1003,1011,1005,1046.9
1000,1003,1022,1000,1007.2292
1001,1001,1038,1000,1080
1000,1001,1045,1001,1083.475
1000,1003,1004,1003,1027.9
1000,1001,1000,1000,1027.7208
1001,1003,1000,1001,1015.2458
1001,1002,1029,1000,1010.5
1000,1003,1019,1000,1008.1583
1001,1003,1017,1004,1007.925
1000,1003,1026,1002,1008.6625
1000,1002,1032,1000,1010.5
1000,1003,1016,1005,1046.9
1000,1002,1021,1000,1073.5
1000,1003,1026,1001,1014.4542
1001,1003,1032,1000,1056.4958
1000,1003,1025,1000,1007.65
1000,1003,1000,1000,1007.8958
1000,1003,1000,1000,1008.05
1001,1002,1000.83,1000,1029
1001,1003,1030,1000,1012.475
1000,1003,1022,1000,1009
1001,1003,1029,1000,1009.5
1001,1003,1000,1000,1007.7875
1000,1001,1028,1000,1047.1
1001,1002,1017,1000,1010.5
1001,1003,1033,1003,1015.85
1000,1003,1016,1001,1034.375
1000,1003,1000,1000,1008.05
1001,1001,1023,1003,1263
1000,1003,1024,1000,1008.05
1000,1003,1029,1000,1008.05
1000,1003,1020,1000,1007.8542
1000,1001,1046,1001,1061.175
1000,1003,1026,1001,1020.575
1000,1003,1059,1000,1007.25
1000,1003,1000,1000,1008.05
1000,1001,1071,1000,1034.6542
1001,1001,1023,1000,1063.3583
1001,1002,1034,1000,1023
1000,1002,1034,1001,1026
1000,1003,1028,1000,1007.8958
1000,1003,1000,1000,1007.8958
1000,1001,1021,1000,1077.2875
1000,1003,1033,1000,1008.6542
1000,1003,1037,1002,1007.925
1000,1003,1028,1000,1007.8958
1001,1003,1021,1000,1007.65
1001,1003,1000,1000,1007.775
1000,1003,1038,1000,1007.8958
1001,1003,1000,1001,1024.15
1000,1001,1047,1000,1052
1000,1003,1014.5,1001,1014.4542
1000,1003,1022,1000,1008.05
1000,1003,1020,1001,1009.825
1000,1003,1017,1000,1014.4583
1000,1003,1021,1000,1007.925
1000,1003,1070.5,1000,1007.75
1000,1002,1029,1001,1021
1000,1001,1024,1000,1247.5208
1000,1003,1002,1004,1031.275
1000,1002,1021,1002,1073.5
1000,1003,1000,1000,1008.05
1000,1002,1032.5,1001,1030.0708
1001,1002,1032.5,1000,1013
1000,1001,1054,1000,1077.2875
1001,1003,1012,1001,1011.2417
1000,1003,1000,1000,1007.75
1001,1003,1024,1000,1007.1417
1001,1003,1000,1001,1022.3583
1000,1003,1045,1000,1006.975
1000,1003,1033,1000,1007.8958
1000,1003,1020,1000,1007.05
1000,1003,1047,1001,1014.5
1001,1002,1029,1001,1026
1000,1002,1025,1000,1013
1000,1002,1023,1000,1015.0458
1001,1001,1019,1000,1026.2833
1000,1001,1037,1001,1053.1
1000,1003,1016,1000,1009.2167
1000,1001,1024,1000,1079.2
1000,1003,1000,1000,1015.2458
1001,1003,1022,1000,1007.75
1001,1003,1024,1001,1015.85
1000,1003,1019,1000,1006.75
1000,1002,1018,1000,1011.5
1000,1002,1019,1001,1036.75
1001,1003,1027,1000,1007.7958
1000,1003,1009,1002,1034.375
1000,1002,1036.5,1000,1026
1000,1002,1042,1000,1013
1000,1002,1051,1000,1012.525
1001,1001,1022,1001,1066.6
1000,1003,1055.5,1000,1008.05
1000,1003,1040.5,1000,1014.5
1000,1003,1000,1000,1007.3125
1000,1001,1051,1000,1061.3792
1001,1003,1016,1000,1007.7333
1000,1003,1030,1000,1008.05
1000,1003,1000,1000,1008.6625
1000,1003,1000,1008,1069.55
1000,1003,1044,1000,1016.1
1001,1002,1040,1000,1015.75
1000,1003,1026,1000,1007.775
1000,1003,1017,1000,1008.6625
1000,1003,1001,1004,1039.6875
1001,1003,1009,1000,1020.525
1001,1001,1000,1000,1055
1000,1003,1045,1001,1027.9
1000,1001,1000,1000,1025.925
1000,1003,1028,1000,1056.4958
1000,1001,1061,1000,1033.5
1000,1003,1004,1004,1029.125
1001,1003,1001,1001,1011.1333
