Hospital name,Phone number,Street address,Suburb,Postcode,State,Local Hospital Network (LHN),Primary Health Network area (PHN),Website,Description,Sector,Beds,Latitude,Longitude,Hospital_ID
Abbotsford Private Hospital,08 9200 6282,61 Cambridge Street,West Leederville,6007,WA,,,www.abbotsfordhospital.com.au,,Private,<50,-31.940992,115.837344,1
Adelaide Clinic,08 8269 8100,33 Park Terrace,Gilberton,5081,SA,,,www.adelaideclinic.com.au/,,Private,50-99,-34.90658,138.613167,2
Adelaide Day Surgery Pty Ltd,08 8239 4900,18 North Terrace,Adelaide,5000,SA,,,http://www.curagroup.com.au/adelaide-day-surgery,,Private,<50,-34.922409,138.588817,3
Adelaide Eye & Laser Centre,08 8274 7000,215 Greenhill Road,Eastwood,5063,SA,,,www.aelc.com.au,,Private,,-34.94042,138.6215,4
Adelaide Surgicentre,08 8211 0000,89 King William Street,Kent Town,5067,SA,,,www.asec.net.au,,Private,<50,-34.917691,138.621022,5
Aesthetic Day Surgery,02 9553 9905,14 Kensington Street,Kogarah,2217,NSW,,,www.aestheticdaysurgery.com.au,,Private,,-33.964843,151.135032,6
Albany Hospital,08 9892 2222,Warden Avenue,Albany,6330,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=4,Medium regional hospital with an emergency department,Public,100-199,-35.003407,117.904468,7
Albert Road Clinic,03 9256 8311,31 Albert Road,Melbourne,3004,Vic,,,www.albertroadclinic.com.au/,,Private,50-99,-37.834246,144.972151,8
Albury Wodonga Health [Albury Campus],02 6058 4444,201 Borella Road,Albury,2640,NSW,Albury Wodonga Health,Murray,,Large regional hospital with an emergency department,Public,100-199,-36.078401,146.939146,9
Albury Wodonga Health [Wodonga Campus],02 6051 7111,69 Vermont Street,Wodonga,3690,Vic,Albury Wodonga Health,Murray,,Medium regional hospital with an emergency department,Public,100-199,-36.131791,146.879417,10
Albury Wodonga Private Hospital,02 6041 1411,1125 Pemberton Street,West Albury,2640,NSW,,,www.alburywodongaprivate.com.au,,Private,100-199,-36.075621,146.883177,11
Alexandra District Hospital,03 5772 0900,12 Cooper Street,Alexandra,3714,Vic,Alexandra District Hospital,Murray,,Small hospital,Public,<50,-37.195065,145.716143,12
