order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD249513,ID1459448721,2019-01-04,Bakers,"[('iAssist Line', 2), ('Alcon 10', 1)]",13400,79.89,-37.8195384,145.00887959999997,15,11469.89,Summer,False,1.6027,None,False
ORD408577,ID0301542599,2019-02-28,Thompson,"[('Thunder line', 2), ('pearTV', 1)]",10670,77.27,-37.8221386,144.94986550000004,5,10213.77,Summer,False,1.082,five stars great value,True
ORD251872,ID3215192366,2019-12-29,Thompson,"[('Olivia x460', 1), ('Lucent 330S', 2), ('iAssist Line', 2)]",8135,68.42,-37.809187200000004,144.94523930000003,5,7796.67,Summer,False,0.4201,five stars love it,True
ORD383274,ID0395252517,2019-04-30,Nickolson,"[('Universe Note', 1), ('Candle Inferno', 1)]",3880,69.53,-37.79995020000001,144.97711,10,3561.53,Autumn,False,2.1794,used for employees use these phones to hand out to our employees. best ones we've used yet. not expensive and does the job.,True
ORD387489,ID0577521804,2019-05-02,Nickolson,"[('iStream', 2), ('iAssist Line', 2), ('Alcon 10', 1), ('Universe Note', 1)]",17150,65.02,-37.823326200000004,144.9720465,5,16357.52,Autumn,False,0.5705,great tablet but apps limited comparison of other tablets.,True
ORD014190,ID1479897587,2019-09-13,Nickolson,"[('Olivia x460', 1), ('iStream', 2), ('pearTV', 1)]",7835,102.38,-37.8201081,144.9583279,15,6762.13,Spring,False,1.0012,five stars nice used phone,True
ORD001360,ID0176722515,2019-07-31,Nickolson,"[('Universe Note', 1), ('iStream', 2), ('Olivia x460', 1), ('iAssist Line', 2)]",9425,76.09,-37.814134100000004,144.9673044,10,8558.59,Winter,False,0.5344,"like a tablet. great, fast connection. everything i wanted in an electronic reader.",True
ORD394829,ID1217532920,2019-03-23,Thompson,"[('pearTV', 1), ('Olivia x460', 2), ('iStream', 1), ('Thunder line', 1)]",11090,48.01,-37.81810220000001,144.94857290000004,0,11138.01,Autumn,False,0.6186,"i have had this phone for less than 3 months ... i have had this phone for less than 3 months and the screen is already going out. it will flicker off and only come back on if it is bumped. this is a repairable issue, but the repair costs as much as i payed for the phone",False
ORD493520,ID3924931354,2019-11-21,Nickolson,"[('Toshika 750', 1), ('Lucent 330S', 1), ('iStream', 1), ('Candle Inferno', 1)]",6130,96.67,-37.8162805,144.9669955,0,6226.67,Spring,True,0.3419,"excellent phone! great phone!! it works smoothly and its fast! it looks very nice and isn't heavy at all. comes with lots of nice features including a whole bunch of google apps. the camera is okay but honestly for the price, this phone is a steal! don't think twice about getting this phone 5/5",True
ORD045721,ID0777783111,2019-06-21,Thompson,"[('iStream', 1), ('Universe Note', 1), ('Thunder line', 1), ('Alcon 10', 2)]",23680,66.38,-37.8047747,144.95390790000005,10,21378.38,Winter,False,1.0653,i love it! learning knew things with it eveyday! still figuring out how everything works but so far it's been easy to use and understand. she does make me laugh at times,True
ORD043894,ID0767729196,2019-10-09,Thompson,"[('Lucent 330S', 1), ('Universe Note', 1), ('Toshika 750', 2), ('Alcon 10', 1)]",22270,74.27,-37.8090031,144.9449882,25,16776.77,Spring,False,0.4477,very happy so far. great phone so far and has all the bells and whistles!,True
ORD099388,ID1492169340,2019-09-30,Thompson,"[('Lucent 330S', 1), ('iAssist Line', 1), ('iStream', 1), ('Olivia x460', 1)]",4830,84.34,-37.801810700000004,144.96364230000003,15,4189.84,Spring,False,1.8939,"sweet tablet yo, does good work for my grandma and super easy",True
ORD459600,ID0248260959,2019-05-26,Thompson,"[('Candle Inferno', 2), ('iStream', 1), ('iAssist Line', 2)]",5460,68.35,-37.7994579,144.9596991,5,5255.35,Autumn,False,1.8434,an ok phone touch screen not very sensitive,True
ORD288904,ID6167344367,2019-09-29,Nickolson,"[('Thunder line', 2), ('Olivia x460', 1)]",5585,98.06,-37.81470570000001,144.96882069999995,25,4286.81,Spring,True,0.4377,the fact that she can help me find my phone when i am at home alone is worth the price of this device,True
ORD272810,ID1367607237,2019-09-22,Nickolson,"[('Candle Inferno', 2), ('Toshika 750', 1)]",5180,86.67,-37.80029520000001,144.9706506,25,3971.67,Spring,False,2.0394,great if it stays good the screen is alright for now. the last one i had to return because the screen went very bad. will write more if everything stays good for the duration of the warranty. hope it does really like the phone.,True
ORD046340,ID2189145384,2019-10-05,Thompson,"[('Olivia x460', 2), ('iStream', 2), ('Candle Inferno', 1)]",3180,77.52,-37.8127376,144.95678869999998,0,3257.52,Spring,False,0.8548,best price we could find and it is so useful to have her around to answer questions. it is so handy to not have to find your phone. i also now have an intercom system.,True
ORD081045,ID2171141891,2019-12-12,Bakers,"[('Toshika 750', 1), ('Alcon 10', 2), ('Olivia x460', 2)]",24670,106.84,-37.82357460000001,145.0126354,0,24776.84,Summer,True,2.151,"note 5 great phone, thank you.",True
ORD165589,ID6167489373,2019-11-18,Thompson,"[('Toshika 750', 1), ('Lucent 330S', 2)]",6780,103.07,-37.8122482,144.9575937,0,6883.07,Spring,True,0.9268,"five stars very nice, just like new.",True
ORD267428,ID3394697031,2019-06-22,Nickolson,"[('Toshika 750', 1), ('Lucent 330S', 1), ('Olivia x460', 1), ('pearTV', 1)]",13085,67.3,-37.810297399999996,144.9611848,5,12498.05,Winter,False,1.1809,five stars awesome phone. one manor problem. group texting does not work. not sure why!,True
ORD001154,ID0591233425,2019-10-16,Thompson,"[('Alcon 10', 2), ('Lucent 330S', 2), ('Universe Note', 2)]",27260,79.87,-37.824369,144.9525705,0,27339.87,Spring,False,1.3889,"this is my second candle inferno, and the only reason is because i upgraded. they're a great little tablet. very versatile and fast loading times. definitely recommend.",True
ORD155671,ID0367779672,2019-11-13,Nickolson,"[('Alcon 10', 2), ('Candle Inferno', 2), ('Olivia x460', 1), ('iStream', 2)]",20285,86.83,-37.8246605,144.9694812,5,19357.58,Spring,True,0.6752,pretty tangerine color. first tablet had bad earphone jack; second product would not connect to wifi no matter where we tried. all of our other tablets work fine.we will order another digico inferno tablet.,False
ORD214160,ID4826905584,2019-02-26,Nickolson,"[('Lucent 330S', 1), ('Olivia x460', 2), ('iAssist Line', 1)]",5905,76.03,-37.81955870000001,144.9636104,5,5685.78,Summer,False,0.5333,"trying my best to get toshika fix it but in vain touch screen became unresponsive from 3rd month of usage. it is frustrating when you can’t answer calls or can’t use “p”, “q” keys for example. trying my best to get toshika fix it but in vain. do not buy ... that’s in plain english",False
ORD133498,ID0269335006,2019-11-05,Nickolson,"[('Olivia x460', 1), ('iAssist Line', 2), ('iStream', 1)]",5825,86.75,-37.816912,144.9795302,0,5911.75,Spring,True,0.8973,one star didn't work,False
ORD009223,ID0634783941,2019-07-02,Thompson,"[('Thunder line', 1), ('iStream', 1), ('iAssist Line', 2), ('Lucent 330S', 2)]",9240,76.25,-37.8122993,144.9373433,25,7006.25,Winter,True,0.8563,high quality phone great item. highly recommend .,True
ORD202395,ID6167489426,2019-10-20,Thompson,"[('Toshika 750', 2), ('iAssist Line', 1), ('Universe Note', 2), ('Thunder line', 2)]",22125,89.19,-37.8111977,144.9588052,25,16682.94,Spring,False,1.0451,shape the should have been for sale. too worn must have been the property of a child. i returned it,False
ORD334722,ID0282854595,2019-10-30,Bakers,"[('Olivia x460', 2), ('pearTV', 2), ('Alcon 10', 2), ('Thunder line', 2)]",37330,109.4,-37.8019774,145.0155861,25,28106.9,Spring,True,2.0004,easy to setup and use happy with phone.,True
ORD135433,ID6202470164,2019-05-23,Nickolson,"[('Candle Inferno', 2), ('iStream', 2), ('pearTV', 2), ('Olivia x460', 1)]",15005,79.2,-37.82229570000001,144.9787102,10,13583.7,Autumn,False,0.9046,"very pleased great phone, every feature i need at an excellent price. fast and responsive with excellent graphics and a decent camera.",True
ORD092649,ID0095562828,2019-09-22,Bakers,"[('iStream', 1), ('Lucent 330S', 1)]",1380,107.89,-37.80119570000001,144.93258380000003,0,1487.89,Spring,True,5.5964,"the best seller and fast delivery one of the best olivia phone,very affordable too!!!",True
ORD154967,ID5058108347,2019-06-26,Nickolson,"[('Alcon 10', 1), ('iAssist Line', 1), ('Thunder line', 2), ('Toshika 750', 2)]",24175,63.33,-37.8224687,144.9684216,25,18194.58,Winter,False,0.4425,five stars perfect item for my daughter.,True
ORD299871,ID3191033051,2019-09-29,Nickolson,"[('pearTV', 1), ('iAssist Line', 1)]",8535,102.38,-37.8111727,144.9720286,0,8637.38,Spring,True,0.8545,the best verizon windows phone i love the icon so got this one to replace my old one. using it to test win10 mobile.,True
