order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD425445,ID6167231029,2019-10-02,Thompson,"[('pearTV', 1), ('Lucent 330S', 2), ('Candle Inferno', 1), ('iAssist Line', 2)]",13650.0,61.16,-37.8138047,144.9574646,5,13028.66,Spring,False,0.9229,very dissatisfied we purchased this phone in november and it is already refusing to charge..feel like we were ripped off:(,0.0
ORD003623,ID2288769473,2019-05-25,Bakers,"[('Thunder line', 2), ('iAssist Line', 1), ('Universe Note', 2), ('iStream', 1)]",13635.0,50.35,-37.8018235,145.0034743,5,13003.6,Autumn,False,1.1632,false advertising i bought the phone expecting tht it would be unlocked as advertised and was very disappointed tht it wasn't. had to wait a whole 20 days to get it unlocked and paid a whole lot more. tht was not cool but i got it to work and the data service still had issues,0.0
ORD235031,ID6167489432,2019-12-20,Thompson,"[('Alcon 10', 2), ('Universe Note', 2)]",24800.0,94.76,-37.811960600000006,144.9594735,25,18694.76,Summer,True,1.0938,"great phone for the money i need a cheap phone for foreign travel and found that this recently released phone has pretty good reviews. to be honest, its just as good as my alcon 6 in most ways, though the audio is not quite as good. for the money, a great phone.",1.0
ORD218801,ID0370244513,2019-07-04,Nickolson,"[('Lucent 330S', 2), ('Toshika 750', 1), ('Alcon 10', 1)]",15730.0,57.36,-37.8016383,144.9690525,10,14214.36,Winter,False,1.8881,"bad buy the cell worked two months and there was no more, not if the battery is damaged or just came",0.0
ORD049338,ID2442297408,2019-05-10,Thompson,"[('Universe Note', 1), ('Lucent 330S', 2), ('Alcon 10', 2)]",23810.0,64.3,-37.8178098,144.95166609999995,25,17921.8,Autumn,False,0.7003,love my candle it does everything i wanted i to do.,1.0
ORD313517,ID0746912634,2019-01-25,Nickolson,"[('iAssist Line', 2), ('Olivia x460', 2), ('Thunder line', 2), ('iStream', 2)]",11560.0,79.17,-37.8257466,144.9844918,5,11061.17,Summer,False,1.5361,good buy so much faster than any of my previous phones. video is crisp and vibrant. sound quality is goo enough for me. great phone for the low price compared to the top shelf stuff.,1.0
ORD396996,ID0844481066,2019-01-28,Thompson,"[('Universe Note', 1), ('Toshika 750', 1), ('Candle Inferno', 1), ('Thunder line', 1)]",10380.0,58.27,-37.820561100000006,144.94878880000005,0,10438.27,Summer,False,0.8909999999999999,"the phone was advertised as new and it is not ... the phone was advertised as new and it is not. it was not in working order either. when making a call, caller can not hear me.",0.0
ORD415471,ID0030943513,2019-01-28,Thompson,"[('Olivia x460', 1), ('Toshika 750', 2), ('Candle Inferno', 1), ('pearTV', 1)]",16605.0,76.53,-37.8059885,144.95708390000001,15,14190.78,Summer,False,1.153,love this phone!!! fast phone and easy setup. very intuitive and easy to use. so glad i switched from a olivia!! already have pi installed and there were no install errors or slow down of apps after install.,1.0
ORD441045,ID2191735060,2019-08-03,Nickolson,"[('iAssist Line', 1), ('Olivia x460', 2), ('pearTV', 1)]",10985.0,67.69,-37.8235573,144.95612350000005,15,9404.94,Winter,False,1.3035,five stars beautiful little phone just what i ordered,1.0
ORD219393,ID5402876166,2019-06-30,Nickolson,"[('pearTV', 1), ('Universe Note', 2), ('iStream', 1)]",13360.0,75.26000000000022,-37.82005570000001,144.9768385,15,11431.26,Winter,True,0.6611,works as expected still a good phone for the money after 1-1/2 years. i would by another xp.,1.0
